Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,%R,RSI-7,RSI-14,RSI,MACD-SL,DMI,MACD-SL_n,DMI_n,Close_n,%R_n,RSI_n
1/4/2004,63.95000076,62.90000153,63.0,63.95000076,111500,37.41427994,wait or hold,0.5161151834392896,0.25841531164044546,26.570089110066043,17.22896259475555,13.03557891474729,-0.0,69.63027935170997,63.094367358531706,63.094367358531706,0.2576998717988442,9.341126515310492,0.13142570848810564,0.18965395102611193,-0.20230381385575535,1.0,0.3474064894418867
2/4/2004,64.76000214,63.70000076,64.05000305,63.70000076,115900,37.26801682,wait or hold,0.5815885180101716,0.3230499853718645,30.448359941726878,15.888436264732182,14.348890941108092,-22.55321715617499,65.6585509018678,61.21643108339713,61.21643108339713,0.2585385326383071,14.559923676994696,0.1316925844074479,0.3102130812017909,-0.2083033336047586,0.5489356568765003,0.2942973550657406
5/4/2004,63.90000153,60.41999817,63.90000153,60.70000076,188900,35.51285553,wait or hold,0.38831515750874246,0.33610302504309664,23.879388927963316,32.794884073806735,14.447621241681421,-93.54833332099457,36.50610699971056,44.211031588226625,44.211031588226625,0.05221213246564582,-8.915495145843419,0.06603606971199971,-0.2320912058032576,-0.2802975705927977,-0.8709666664198912,-0.18662527200494394
6/4/2004,60.45000076,59.04999924,60.45000076,59.45000076,285900,34.781536100000004,wait or hold,0.13329110374882447,0.29554062774799034,21.509867993052666,37.77966581800567,15.375738621015554,-92.99472299742608,30.025576272485125,39.310924899628894,39.310924899628894,-0.16224952399916587,-16.269797824953002,-0.002209219729917389,-0.40198252492783226,-0.31029516933781387,-0.8598944599485213,-0.3252031503003827
7/4/2004,61.29999924,58.68999863,59.29999924,60.04000092,229500,35.12671661,wait or hold,-0.021188614964778196,0.2321947629185758,23.108661592366243,32.31694949327438,15.464169994918436,-77.75944795129124,36.256727789095365,42.5476758858464,42.5476758858464,-0.25338337788335397,-9.208287900908136,-0.031209537729905756,-0.23885499423548529,-0.29613629889047366,-0.5551889590258245,-0.23366594249133177
8/4/2004,60.09999847,59.34999847,59.90000153,59.40000153,135300,34.75228882,wait or hold,-0.19279023603701972,0.1471977456445843,22.118924425905906,30.932824069468733,15.546284842113973,-88.30308913610497,32.58461664665144,40.0522871777574,40.0522871777574,-0.33998798168160405,-8.813899643562827,-0.05876857252726997,-0.22974425400474074,-0.3114950548090938,-0.7660617827220992,-0.3042369921980739
12/4/2004,59.27999878,56.54999924,59.27000046,57.75,321600,33.78694153,wait or hold,-0.45609419369296944,0.02653933792267759,18.820252262033502,40.97139885428962,17.082066171099058,-85.38367434681415,24.976054110313612,34.44360941280465,34.44360941280465,-0.48263353161564704,-22.151146592256115,-0.10416077458016926,-0.5378472212704356,-0.35109192186957605,-0.7076734869362826,-0.4628536742630881
13/4/2004,59.0,56.25,57.75,57.52000046,283400,33.652381899999995,wait or hold,-0.6754499136404561,-0.1138585308719758,16.29501553056636,36.93773804107103,18.631792547355214,-85.0763790759752,24.06232594089559,33.73446561866787,33.73446561866787,-0.5615913827684803,-20.64272251050467,-0.1292864846696139,-0.5030012041523237,-0.35661146899954277,-0.7015275815195037,-0.482908674825938
14/4/2004,58.04999924,56.95000076,57.40000153,57.34999847,256000,33.55291748,wait or hold,-0.8531114373295452,-0.2617091277339748,15.404641803510296,34.9194281212703,20.070824182450217,-87.07405178161326,23.32643183236064,33.19052499611378,33.19052499611378,-0.5914023095955704,-19.514786317760006,-0.13877282065797925,-0.4769448156631648,-0.36069119018504203,-0.741481035632265,-0.49829163323532255
15/4/2004,58.34999847,57.02000046,57.36000061,58.09000015,199500,33.98586655,wait or hold,-0.9237390263637266,-0.3941151186151078,15.87967348715183,32.60001082472959,21.100720259295866,-78.37838205290979,33.633848760188826,37.885507560037574,37.885507560037574,-0.5296239077486189,-16.720337337577757,-0.11911389894301039,-0.41239041204607496,-0.3429325714112198,-0.5675676410581955,-0.36551478495636647
