Date,High,Low,Open,Close,Volume,Adj Close,Signal
30/9/2004,10.02000046,9.600000381,9.75,9.989999771,2317100,7.66852951,wait or hold
1/10/2004,10.18000031,9.989999771,10,10.14999962,1374800,7.791348934,wait or hold
4/10/2004,10.52000046,10.27000046,10.5,10.43000031,2101600,8.00628376,wait or hold
5/10/2004,10.68000031,10.43000031,10.43000031,10.63000011,2098600,8.159805298,wait or hold
6/10/2004,10.69999981,10.44999981,10.63000011,10.55000019,1229600,8.098398209,wait or hold
7/10/2004,10.67000008,10.35999966,10.60000038,10.35999966,1015000,7.952549934,wait or hold
8/10/2004,10.55000019,10.14000034,10.19999981,10.52000046,1228600,8.075368881,wait or hold
11/10/2004,10.84000015,10.47000027,10.57999992,10.84000015,1974700,8.321006775,wait or hold
12/10/2004,10.97999954,10.57999992,10.73999977,10.94999981,2430800,8.405445099,wait or hold
13/10/2004,10.97999954,10.64000034,10.97999954,10.64000034,1813100,8.167484283,wait or hold
14/10/2004,10.85000038,10.67000008,10.73999977,10.81000042,2092700,8.297979355,wait or hold
15/10/2004,11.09000015,10.84000015,10.90999985,11.07999992,2040300,8.505237579,wait or hold
18/10/2004,11.14000034,10.96000004,11.07999992,11.05000019,2688100,8.482209206,wait or hold
19/10/2004,11.11999989,11.03999996,11.10000038,11.10999966,1897400,8.528264046,wait or hold
20/10/2004,11.10999966,10.76000023,11.10999966,10.92000008,1639800,8.382416725,wait or hold
21/10/2004,11.13000011,10.81000042,10.85000038,11.10000038,1808300,8.520586967,wait or hold
22/10/2004,11.18000031,10.96000004,11.14000034,11.03999996,1234300,8.474527359,wait or hold
25/10/2004,11.07999992,10.90999985,10.97999954,11.05000019,870700,8.482209206,wait or hold
26/10/2004,11.30000019,10.94999981,10.97999954,11.30000019,1897700,8.674113274,wait or hold
27/10/2004,11.64999962,11.27000046,11.30000019,11.38000011,3956200,8.735524178,wait or hold
28/10/2004,11.39999962,10.5,11.39999962,10.65999985,4683200,8.182834625,wait or hold
29/10/2004,10.89999962,10.60999966,10.85000038,10.89999962,2285600,8.367062569,wait or hold
1/11/2004,11.06999969,10.89999962,11.05000019,11,1991200,8.443824768,wait or hold
2/11/2004,11.22000027,10.97000027,11.10000038,11.02000046,2030200,8.459178925,wait or hold
3/11/2004,11.21000004,11,11.11999989,11.10000038,1466300,8.520586967,wait or hold
4/11/2004,11.39999962,11.11999989,11.19999981,11.39000034,1659400,8.743197441,wait or hold
5/11/2004,11.43999958,11.22000027,11.39000034,11.34000015,2120200,8.704814911,wait or hold
8/11/2004,11.57999992,11.34000015,11.42000008,11.53999996,2168000,8.858343124,wait or hold
9/11/2004,11.75,11.39999962,11.56999969,11.72000027,1945200,8.996515274,wait or hold
10/11/2004,11.80000019,11.64999962,11.76000023,11.69999981,1641200,8.981161118,wait or hold
11/11/2004,11.97000027,11.73999977,11.73999977,11.97000027,2466400,9.188419342,wait or hold
