Date,High,Low,Open,Close,Volume,Adj Close,Signal
1/10/2004,5.050000191,4.949999809,4.974999905,5,54575000,0.032746565,wait or hold
4/10/2004,5.150000095,4.974999905,5,5.150000095,79316000,0.033728957,wait or hold
5/10/2004,5.150000095,5.050000191,5.150000095,5.099999905,39676000,0.033401504,wait or hold
6/10/2004,5.099999905,4.974999905,5.099999905,5,37829000,0.032746565,wait or hold
7/10/2004,5,4.949999809,5,4.949999809,13323000,0.032419108,wait or hold
8/10/2004,5.050000191,4.949999809,4.974999905,4.974999905,21952000,0.032582834,wait or hold
11/10/2004,5,4.949999809,5,4.949999809,8847000,0.032419108,wait or hold
12/10/2004,4.949999809,4.900000095,4.949999809,4.900000095,25983000,0.03209164,wait or hold
13/10/2004,4.949999809,4.875,4.949999809,4.900000095,7526000,0.03209164,wait or hold
14/10/2004,4.900000095,4.775000095,4.900000095,4.824999809,27650000,0.031600438,wait or hold
15/10/2004,4.824999809,4.775000095,4.824999809,4.800000191,11308000,0.0314367,wait or hold
18/10/2004,4.824999809,4.775000095,4.800000191,4.775000095,9493000,0.03127297,wait or hold
19/10/2004,4.849999905,4.800000191,4.800000191,4.824999809,7920000,0.031600438,wait or hold
20/10/2004,4.824999809,4.775000095,4.824999809,4.800000191,5698000,0.0314367,wait or hold
21/10/2004,4.824999809,4.775000095,4.800000191,4.800000191,7735000,0.0314367,wait or hold
22/10/2004,4.824999809,4.775000095,4.800000191,4.824999809,6403000,0.031600438,wait or hold
26/10/2004,4.824999809,4.724999905,4.800000191,4.75,15568000,0.031109238,wait or hold
27/10/2004,4.75,4.574999809,4.724999905,4.625,29855000,0.030290576,wait or hold
28/10/2004,4.650000095,4.525000095,4.625,4.525000095,13481000,0.029635645,wait or hold
29/10/2004,4.625,4.474999905,4.525000095,4.625,32081000,0.030290576,wait or hold
1/11/2004,4.675000191,4.599999905,4.650000095,4.675000191,3712000,0.030618044,wait or hold
2/11/2004,4.775000095,4.699999809,4.699999809,4.775000095,9774000,0.03127297,wait or hold
3/11/2004,4.949999809,4.775000095,4.775000095,4.900000095,37685000,0.03209164,wait or hold
4/11/2004,4.900000095,4.824999809,4.900000095,4.824999809,7576000,0.031600438,wait or hold
5/11/2004,4.900000095,4.800000191,4.900000095,4.824999809,6998000,0.031600438,wait or hold
8/11/2004,4.824999809,4.775000095,4.800000191,4.775000095,3244000,0.03127297,wait or hold
9/11/2004,4.824999809,4.75,4.775000095,4.800000191,3571000,0.0314367,wait or hold
10/11/2004,4.849999905,4.800000191,4.824999809,4.800000191,10667000,0.0314367,wait or hold
11/11/2004,4.824999809,4.75,4.800000191,4.800000191,2251000,0.0314367,wait or hold
12/11/2004,4.849999905,4.800000191,4.800000191,4.824999809,7515000,0.031600438,wait or hold
15/11/2004,4.875,4.824999809,4.849999905,4.824999809,5553000,0.031600438,wait or hold
16/11/2004,4.849999905,4.800000191,4.849999905,4.800000191,5896000,0.0314367,wait or hold
