Date,High,Low,Open,Close,Volume,Adj Close,Signal
31/12/2003,85.51000214,84.69000244,84.70999908,85.20999908,503400,85.20999908,wait or hold
2/1/2004,86,83.84999847,85.09999847,84.18000031,924600,84.18000031,wait or hold
5/1/2004,84.36000061,82.59999847,84.22000122,83.19999695,1596900,83.19999695,wait or hold
6/1/2004,85.22000122,82.69999695,82.69999695,84.93000031,1388900,84.93000031,wait or hold
7/1/2004,85.29000092,83.77999878,84.80000305,84.59999847,1132000,84.59999847,wait or hold
8/1/2004,85.30000305,84.01000214,84.68000031,84.41000366,881900,84.41000366,wait or hold
9/1/2004,85.70999908,83.68000031,84.40000153,83.86000061,908700,83.86000061,wait or hold
12/1/2004,84.26000214,82.83000183,83.87000275,83.90000153,907000,83.90000153,wait or hold
13/1/2004,85.83999634,84.22000122,85.65000153,85.62000275,1046800,85.62000275,wait or hold
14/1/2004,85.80000305,84.94999695,85.62999725,85,504600,85,wait or hold
15/1/2004,86.19999695,84.16999817,85.05000305,85.55000305,1223600,85.55000305,wait or hold
16/1/2004,85.87000275,84.58999634,85.69999695,84.66999817,747800,84.66999817,wait or hold
20/1/2004,84.68000031,83.54000092,84.68000031,84.23000336,1176000,84.23000336,wait or hold
21/1/2004,86.18000031,84.25,84.59999847,86.05000305,1045800,86.05000305,wait or hold
22/1/2004,86.88999939,85.30999756,85.80000305,86.48000336,719300,86.48000336,wait or hold
23/1/2004,86.69999695,85.44999695,86.25,85.73999786,456800,85.73999786,wait or hold
26/1/2004,86.01000214,84.5,85.44999695,85.51000214,668500,85.51000214,wait or hold
27/1/2004,86.30999756,85.61000061,85.61000061,85.90000153,523100,85.90000153,wait or hold
28/1/2004,86.33999634,83.76999664,86.09999847,84,661900,84,wait or hold
29/1/2004,84.87000275,83.73999786,84,84.73000336,598700,84.73000336,wait or hold
30/1/2004,85.23000336,84.05000305,84.59999847,84.31999969,711600,84.31999969,wait or hold
2/2/2004,85.93000031,83.91999817,84.33000183,84.59999847,864900,84.59999847,wait or hold
3/2/2004,85.73000336,83.56999969,84.19999695,85.30999756,727000,85.30999756,wait or hold
4/2/2004,86.58999634,85.01999664,85.09999847,86.25,919200,86.25,wait or hold
5/2/2004,87.25,86.27999878,86.40000153,86.69000244,996000,86.69000244,wait or hold
