Date,High,Low,Open,Close,Volume,Adj Close,Signal
9/30/2004,6.757500172,6.612500191,6.632500172,6.695000172,1010400,4.882156849,wait or hold
10/1/2004,6.769999981,6.690000057,6.712500095,6.71999979,856800,4.90038681,wait or hold
10/4/2004,6.800000191,6.71750021,6.71999979,6.760000229,735600,4.929554939,wait or hold
10/5/2004,6.787499905,6.695000172,6.742499828,6.712500095,490000,4.894919395,wait or hold
10/6/2004,6.710000038,6.65749979,6.675000191,6.699999809,417200,4.885800362,wait or hold
10/7/2004,6.692500114,6.607500076,6.667500019,6.607500076,650800,4.818349361,wait or hold
10/8/2004,6.682499886,6.577499866,6.614999771,6.652500153,1240800,4.851164818,wait or hold
10/11/2004,6.699999809,6.644999981,6.652500153,6.65500021,1022800,4.852986336,wait or hold
10/12/2004,6.642499924,6.59250021,6.612500191,6.619999886,938800,4.827465057,wait or hold
10/13/2004,6.625,6.550000191,6.619999886,6.574999809,551600,4.79464817,wait or hold
10/14/2004,6.652500153,6.545000076,6.627500057,6.545000076,809200,4.772774696,wait or hold
10/15/2004,6.635000229,6.554999828,6.5625,6.597499847,722800,4.811057091,wait or hold
10/18/2004,6.672500134,6.550000191,6.574999809,6.635000229,698800,4.838403702,wait or hold
10/19/2004,6.71999979,6.625,6.625,6.659999847,801600,4.856634617,wait or hold
10/20/2004,6.692500114,6.590000153,6.625,6.667500019,957600,4.882814407,wait or hold
10/21/2004,6.732500076,6.619999886,6.650000095,6.71750021,996800,4.919430256,wait or hold
10/22/2004,6.777500153,6.675000191,6.71750021,6.692500114,746800,4.901124477,wait or hold
10/25/2004,6.71999979,6.612500191,6.642499924,6.699999809,662000,4.906615734,wait or hold
10/26/2004,6.829999924,6.619999886,6.737500191,6.797500134,1065200,4.978018284,wait or hold
10/27/2004,6.942500114,6.784999847,6.800000191,6.9375,760000,5.080544949,wait or hold
10/28/2004,6.974999905,6.900000095,6.912499905,6.972499847,647600,5.106174469,wait or hold
10/29/2004,7.037499905,6.9375,6.982500076,7.027500153,676800,5.146454334,wait or hold
11/1/2004,7.042500019,6.857500076,7.042500019,6.894999981,976000,5.04941988,wait or hold
11/2/2004,7.03249979,6.920000076,6.929999828,6.997499943,652000,5.124483109,wait or hold
11/3/2004,7.164999962,7.037499905,7.050000191,7.117499828,540000,5.212362766,wait or hold
11/4/2004,7.25,7.082499981,7.087500095,7.247499943,585600,5.307565689,wait or hold
11/5/2004,7.295000076,7.222499847,7.25,7.275000095,417600,5.327704906,wait or hold
11/8/2004,7.287499905,7.224999905,7.275000095,7.277500153,543600,5.329534531,wait or hold
11/9/2004,7.300000191,7.150000095,7.300000191,7.195000172,722000,5.269118786,wait or hold
11/10/2004,7.287499905,7.177499771,7.224999905,7.1875,772400,5.263627529,wait or hold
11/11/2004,7.224999905,7.147500038,7.224999905,7.192500114,667200,5.267288685,wait or hold
11/12/2004,7.985000134,7.317500114,7.375,7.96750021,4677600,5.834843636,wait or hold
11/15/2004,8.027500153,7.84499979,7.922500134,7.867499828,2166800,5.761609554,wait or hold
11/16/2004,7.945000172,7.815000057,7.847499847,7.867499828,1290800,5.761609554,wait or hold
11/17/2004,7.925000191,7.800000191,7.869999886,7.869999886,1142800,5.763442516,wait or hold
11/18/2004,7.887499809,7.632500172,7.887499809,7.647500038,1906000,5.600498676,wait or hold
11/19/2004,7.650000095,7.545000076,7.647500038,7.612500191,1134800,5.574867725,wait or hold
11/22/2004,7.679999828,7.605000019,7.637499809,7.619999886,1067600,5.580359936,wait or hold
11/23/2004,7.644999981,7.522500038,7.599999905,7.574999809,1306000,5.547406673,wait or hold
11/24/2004,7.857500076,7.574999809,7.577499866,7.702499866,2102400,5.640776634,wait or hold
11/26/2004,7.692500114,7.59250021,7.675000191,7.682499886,702000,5.626130581,wait or hold
11/29/2004,7.762499809,7.53249979,7.737500191,7.697500229,1677200,5.637115002,wait or hold
11/30/2004,7.724999905,7.59250021,7.699999809,7.652500153,1302800,5.604160309,wait or hold
12/1/2004,7.739999771,7.617499828,7.659999847,7.727499962,1210400,5.659085751,wait or hold
12/2/2004,7.699999809,7.577499866,7.675000191,7.59499979,1539200,5.562051773,wait or hold
12/3/2004,7.732500076,7.612500191,7.637499809,7.699999809,977200,5.638944149,wait or hold
12/6/2004,7.644999981,7.40500021,7.637499809,7.517499924,1457600,5.5052948,wait or hold
12/7/2004,7.534999847,7.449999809,7.492499828,7.505000114,1134800,5.496142387,wait or hold
12/8/2004,7.567500114,7.507500172,7.550000191,7.537499905,899600,5.519943237,wait or hold
12/9/2004,7.547500134,7.440000057,7.474999905,7.489999771,1021200,5.485155582,wait or hold
12/10/2004,7.512499809,7.425000191,7.512499809,7.4375,1012800,5.44671154,wait or hold
12/13/2004,7.487500191,7.380000114,7.487500191,7.412499905,1350000,5.428400517,wait or hold
12/14/2004,7.487500191,7.40500021,7.462500095,7.449999809,1017600,5.455861092,wait or hold
12/15/2004,7.449999809,7.392499924,7.417500019,7.4375,1153600,5.44671154,wait or hold
12/16/2004,7.53000021,7.397500038,7.412499905,7.514999866,993600,5.503465176,wait or hold
12/17/2004,7.427499771,7.322500229,7.387499809,7.34250021,1255200,5.377138615,wait or hold
12/20/2004,7.414999962,7.269999981,7.394999981,7.332499981,1529600,5.369813442,wait or hold
12/21/2004,7.402500153,7.340000153,7.387499809,7.392499924,1281200,5.41375494,wait or hold
12/22/2004,7.489999771,7.362500191,7.362500191,7.402500153,778000,5.421079159,wait or hold
12/23/2004,7.587500095,7.417500019,7.420000076,7.559999943,837200,5.536419868,wait or hold
12/27/2004,7.574999809,7.46750021,7.574999809,7.497499943,414800,5.490647316,wait or hold
12/28/2004,7.497499943,7.427499771,7.480000019,7.497499943,553600,5.490647316,wait or hold
12/29/2004,7.565000057,7.449999809,7.534999847,7.53249979,556800,5.516279697,wait or hold
12/30/2004,7.675000191,7.5,7.5,7.662499905,1015600,5.611484051,wait or hold
12/31/2004,7.872499943,7.625,7.650000095,7.837500095,1661600,5.739640713,wait or hold
1/3/2005,7.862500191,7.627500057,7.832499981,7.650000095,1297200,5.602328777,wait or hold
1/4/2005,7.792500019,7.632500172,7.737500191,7.637499809,913600,5.593175888,wait or hold
1/5/2005,7.690000057,7.559999943,7.662499905,7.565000057,780400,5.540081501,wait or hold
1/6/2005,7.635000229,7.545000076,7.550000191,7.59499979,1017600,5.562051773,wait or hold
1/7/2005,7.672500134,7.542500019,7.644999981,7.605000019,682400,5.569373608,wait or hold
1/10/2005,7.664999962,7.53000021,7.637499809,7.545000076,994400,5.52543354,wait or hold
1/11/2005,7.545000076,7.487500191,7.545000076,7.519999981,1844800,5.507126331,wait or hold
1/12/2005,7.497499943,7.335000038,7.497499943,7.432499886,2284800,5.443047047,wait or hold
1/13/2005,7.525000095,7.397500038,7.465000153,7.5,2050800,5.492480278,wait or hold
1/14/2005,7.537499905,7.465000153,7.485000134,7.497499943,535200,5.490647316,wait or hold
1/18/2005,7.732500076,7.477499962,7.5,7.732500076,1992800,5.662747383,wait or hold
1/19/2005,7.690000057,7.599999905,7.650000095,7.637499809,1385200,5.616783142,wait or hold
1/20/2005,7.762499809,7.579999924,7.637499809,7.760000229,1299600,5.70687294,wait or hold
1/21/2005,7.795000076,7.692500114,7.787499905,7.792500019,1284000,5.730772018,wait or hold
1/24/2005,7.800000191,7.699999809,7.762499809,7.71750021,1026000,5.675617695,wait or hold
1/25/2005,7.755000114,7.667500019,7.755000114,7.684999943,600000,5.651715755,wait or hold
