Date,High,Low,Open,Close,Volume,Adj Close,Signal
3/1/2004,26.54999924,25.29999924,25.56999969,26.37000084,3365600,23.67200851,wait or hold
3/2/2004,27.06999969,26.12000084,26.46999931,26.31999969,2544900,23.62712669,wait or hold
3/3/2004,26.30999947,25.38999939,26.17000008,25.53000069,2214700,22.91795158,wait or hold
3/4/2004,26.29999924,25.46999931,25.51000023,26.23999977,1617800,23.55531311,wait or hold
3/5/2004,26.35000038,24.96999931,25.97999954,25.05999947,5016000,22.49603844,wait or hold
3/8/2004,25.62000084,23.71999931,25.18000031,23.82999992,3178600,21.39188957,wait or hold
3/9/2004,23.87999916,22.87000084,23.79999924,23.37999916,4933500,20.9879303,wait or hold
3/10/2004,24.54999924,23.54999924,23.60000038,23.78000069,6235400,21.34700394,wait or hold
3/11/2004,24.73999977,23.62999916,23.63999939,24.11000061,4384700,21.64323807,wait or hold
3/12/2004,24.87999916,24.20999908,24.45999908,24.87999916,2684800,22.3344574,wait or hold
3/15/2004,24.75,23.72999954,24.63999939,23.76000023,1765300,21.32905388,wait or hold
3/16/2004,24.48999977,23.60000038,24.13999939,24.05999947,2463200,21.59835815,wait or hold
3/17/2004,24.65999985,24.21999931,24.27000046,24.57999992,1388000,22.06515121,wait or hold
3/18/2004,24.90999985,23.80999947,24.37000084,24.09000015,1947500,21.6252861,wait or hold
3/19/2004,24.56999969,23.28000069,24.07999992,23.44000053,2888000,21.04179382,wait or hold
3/22/2004,23.30999947,22.52000046,23.13999939,22.90999985,2398300,20.56601906,wait or hold
3/23/2004,23.69000053,22.62000084,23.39999962,23.12000084,2801300,20.75452995,wait or hold
3/24/2004,24.29000092,23.12000084,23.18000031,24.13999939,3547800,21.67017174,wait or hold
3/25/2004,25.18000031,24.43000031,24.48999977,24.95000076,4367900,22.39729881,wait or hold
3/26/2004,25.55999947,24.62999916,24.70999908,25.07999992,2082600,22.51400185,wait or hold
3/29/2004,25.75,24.96999931,25.14999962,25.20999908,1676500,22.63069153,wait or hold
3/30/2004,25.40999985,24.85000038,25.20000076,25.31999969,1359200,22.72944069,wait or hold
3/31/2004,25.5,25,25.02000046,25.12000084,1465800,22.54990768,wait or hold
4/1/2004,26.37000084,25.10000038,25.12999916,25.71999931,2535300,23.08851433,wait or hold
4/2/2004,27.05999947,26.32999992,26.62000084,26.98999977,2052300,24.22858238,wait or hold
4/5/2004,27.18000031,26.45000076,26.85000038,27.13999939,1469500,24.36323357,wait or hold
4/6/2004,26.88999939,26.02000046,26.88999939,26.30999947,1390700,23.61815071,wait or hold
4/7/2004,26.73999977,25.78000069,26.25,26.44000053,1539100,23.73485756,wait or hold
4/8/2004,26.93000031,26.45000076,26.79000092,26.65999985,1459100,23.93234253,wait or hold
4/12/2004,27.26000023,26.5,26.67000008,27.10000038,1603700,24.32732201,wait or hold
4/13/2004,27.5,26.70000076,27.25,26.84000015,2908900,24.09392166,wait or hold
4/14/2004,27.27000046,26.21999931,26.25,26.81999969,2778400,24.07597351,wait or hold
4/15/2004,26.97999954,24.71999931,26.79000092,25.32999992,4633400,22.73841476,wait or hold
4/16/2004,25.14999962,24.32999992,25.06999969,24.70999908,3486000,22.18185425,wait or hold
4/19/2004,25.55999947,24.63999939,24.79999924,25.46999931,2084000,22.8640976,wait or hold
4/20/2004,25.84000015,24.39999962,25.44000053,24.5,2193300,21.99334145,wait or hold
