Date,High,Low,Open,Close,Volume,Adj Close,Signal
1/3/2004,48.5,47.25,48.25,47.5,18085600,26.39811897,wait or hold
2/3/2004,48,47,47.5,47.25,6382500,26.25917816,wait or hold
3/3/2004,47.25,46.75,47,47,3426000,26.12024117,wait or hold
4/3/2004,47.75,46.75,47,47.5,6181000,26.39811897,wait or hold
5/3/2004,47.5,47.5,47.5,47.5,0,26.39811897,wait or hold
8/3/2004,47.75,47,47.75,47,5018900,26.12024117,wait or hold
9/3/2004,47.75,47,47.25,47,5633200,26.12024117,wait or hold
10/3/2004,47.25,46,47.25,46,6183900,25.56449318,wait or hold
11/3/2004,46.25,45.25,46,45.75,4341300,25.42555237,wait or hold
12/3/2004,45.75,44.5,45.25,44.75,6234600,24.86980629,wait or hold
15/3/2004,45,43.25,44.75,43.5,4620400,24.17511368,wait or hold
16/3/2004,44,42.5,43,43.25,6847400,24.03617668,wait or hold
17/3/2004,45.25,43.5,43.75,44.5,5524000,24.73086929,wait or hold
18/3/2004,47,45.5,45.5,46.5,10756000,25.84235954,wait or hold
19/3/2004,46.75,46,46.75,46.25,5474600,25.70342636,wait or hold
22/3/2004,47.5,45.75,46,46.75,9336400,25.98130417,wait or hold
23/3/2004,47.25,46.5,46.75,47.25,3953400,26.25917816,wait or hold
24/3/2004,47.25,46.75,47.25,46.75,2720000,25.98130417,wait or hold
25/3/2004,46.75,45.5,46.75,45.5,4576000,25.28661728,wait or hold
26/3/2004,46.5,45.5,45.75,46.25,3968400,25.70342636,wait or hold
29/3/2004,46.25,45.25,45.75,45.75,5151800,25.42555237,wait or hold
30/3/2004,46,45.5,45.75,45.5,4255000,25.28661728,wait or hold
31/3/2004,45.75,45,45.75,45.25,6504000,25.14767647,wait or hold
1/4/2004,47,44.5,45,47,17192200,26.12024117,wait or hold
2/4/2004,49.75,48,48.25,49,31814500,27.23174477,wait or hold
5/4/2004,50,49,49.75,49,11317100,27.23174477,wait or hold
6/4/2004,49,49,49,49,0,27.23174477,wait or hold
7/4/2004,50.5,49.25,49.5,49.75,16967000,27.64855194,wait or hold
8/4/2004,50,48.75,49.75,49,7361700,27.23174477,wait or hold
9/4/2004,49.75,48.5,49.25,49.5,3332600,27.50961113,wait or hold
12/4/2004,51.5,49.75,50,51,12671600,28.34322929,wait or hold
13/4/2004,51,51,51,51,0,28.34322929,wait or hold
14/4/2004,51,51,51,51,0,28.34322929,wait or hold
15/4/2004,51,51,51,51,0,28.34322929,wait or hold
16/4/2004,52.5,51,51.5,51.5,10751800,28.62111282,wait or hold
19/4/2004,51,49.75,50,50,8564800,28.56399155,wait or hold
20/4/2004,51,49.75,51,50.5,8406300,28.84962082,wait or hold
21/4/2004,51,49.25,50.5,49.25,7233500,28.13552666,wait or hold
22/4/2004,49.5,48,49.5,48.25,8005200,27.56424522,wait or hold
23/4/2004,48.5,47.5,48.25,48,6221300,27.42143059,wait or hold
26/4/2004,47.5,46.75,47,46.75,6566000,26.70733452,wait or hold
27/4/2004,48,46.75,46.75,47.5,4696900,27.13579178,wait or hold
28/4/2004,48.25,46.75,47,47.5,5889100,27.13579178,wait or hold
29/4/2004,47.5,46.25,47,47,12293600,26.85014915,wait or hold
30/4/2004,46.75,45.75,46.5,46.25,8533200,26.42168999,wait or hold
3/5/2004,46.25,46.25,46.25,46.25,0,26.42168999,wait or hold
4/5/2004,47,46,46.25,46.5,3239600,26.56450272,wait or hold
5/5/2004,46.5,46.5,46.5,46.5,0,26.56450272,wait or hold
6/5/2004,47.25,46,46.5,46,8599600,26.27886963,wait or hold
7/5/2004,46,43.25,45.75,45,15527000,25.70758629,wait or hold
10/5/2004,44.25,43,44,43,17432400,24.56502533,wait or hold
11/5/2004,44.25,43,43,44,12979400,25.13630676,wait or hold
12/5/2004,45,44.25,44.5,44.5,7392800,25.42195129,wait or hold
13/5/2004,44.5,42.5,44.25,42.75,7369100,24.42220879,wait or hold
14/5/2004,43.25,42.25,42.5,42.75,6542500,24.42220879,wait or hold
17/5/2004,42.25,40.25,42,40.75,11594300,23.27964973,wait or hold
18/5/2004,41.75,40.25,41.25,41,12791800,23.422472,wait or hold
19/5/2004,43.75,41.75,42,43.5,13334100,24.85066795,wait or hold
20/5/2004,43.25,41.75,43.25,42.25,9165300,24.13657188,wait or hold
21/5/2004,44.5,42.75,42.75,44,9777700,25.13630676,wait or hold
24/5/2004,44.75,43.5,44.5,44,5993200,25.13630676,wait or hold
25/5/2004,43.75,43,43.5,43,4559600,24.56502533,wait or hold
26/5/2004,44.5,43.75,43.75,44.25,8000100,25.27912712,wait or hold
27/5/2004,45.5,44.25,44.5,45,12276600,25.70758629,wait or hold
28/5/2004,46.25,45.25,46,45.75,11781000,26.13604355,wait or hold
31/5/2004,45.5,44.5,45,45.5,7441700,25.99322701,wait or hold
1/6/2004,45.75,45,45.5,45,3943300,25.70758629,wait or hold
2/6/2004,45,45,45,45,0,25.70758629,wait or hold
3/6/2004,45.75,44.5,45.75,45,5581100,25.70758629,wait or hold
4/6/2004,45,44.25,44.75,44.75,2262500,25.56477165,wait or hold
7/6/2004,45.5,44.75,45.25,45.5,4527700,25.99322701,wait or hold
8/6/2004,45.5,43,45.25,43.25,10452400,24.70784569,wait or hold
9/6/2004,43.5,42.5,43,43,6437300,24.56502533,wait or hold
10/6/2004,42.75,42,42.75,42.25,10174400,24.13657188,wait or hold
11/6/2004,42.75,42,42,42.25,8865100,24.13657188,wait or hold
14/6/2004,43,42,42.25,42.5,4801300,24.27939415,wait or hold
15/6/2004,43.25,42.25,42.25,43,4260400,24.56502533,wait or hold
16/6/2004,43.75,43,43.25,43.5,6778900,24.85066795,wait or hold
17/6/2004,44,42.75,43.25,43.25,5861200,24.70784569,wait or hold
18/6/2004,43.5,43,43,43.25,2258500,24.70784569,wait or hold
21/6/2004,43.75,43.25,43.5,43.5,4491100,24.85066795,wait or hold
22/6/2004,44,43.25,43.5,43.25,5433900,24.70784569,wait or hold
23/6/2004,44,43.25,43.25,43.75,5291500,24.99349213,wait or hold
24/6/2004,45.25,44,44,45.25,11766500,25.85040855,wait or hold
25/6/2004,46.5,45.25,45.75,46.5,14262100,26.56450272,wait or hold
28/6/2004,48.25,47.25,47.25,47.5,18337000,27.13579178,wait or hold
29/6/2004,47.5,46.5,47.5,47,8131200,26.85014915,wait or hold
30/6/2004,47.5,46.5,47.25,46.5,6529900,26.56450272,wait or hold
1/7/2004,46.5,46.5,46.5,46.5,0,26.56450272,wait or hold
2/7/2004,47,45.75,46,47,6440100,26.85014915,wait or hold
5/7/2004,48.75,47,47,48.75,9444900,27.84988976,wait or hold
6/7/2004,49.25,48.5,49,48.5,11700300,27.70706558,wait or hold
7/7/2004,50,47.75,48,49,21168200,27.99271584,wait or hold
8/7/2004,49,47.75,49,48,11335700,27.42143059,wait or hold
9/7/2004,48.75,47.5,47.75,48.5,11983000,27.70706558,wait or hold
12/7/2004,48.5,47.5,48.25,48,7548800,27.42143059,wait or hold
13/7/2004,48.5,47.5,48,48,4791800,27.42143059,wait or hold
14/7/2004,48.25,46.75,48,47,8262200,26.85014915,wait or hold
15/7/2004,47.25,46,46.75,46.25,6783600,26.42168999,wait or hold
16/7/2004,47,46,46.25,46.75,4595100,26.70733452,wait or hold
19/7/2004,47.25,46.25,46.5,47,3268200,26.85014915,wait or hold
20/7/2004,47.25,46.5,46.75,47,4140100,26.85014915,wait or hold
21/7/2004,48.5,47.25,47.5,48.25,9481200,27.56424522,wait or hold
22/7/2004,48.25,47.25,48,47.5,5197800,27.13579178,wait or hold
23/7/2004,47.75,47,47.5,47,4760100,26.85014915,wait or hold
26/7/2004,47,44.75,46.75,45,10725000,25.70758629,wait or hold
27/7/2004,46.25,44.75,45,46,10949800,26.27886963,wait or hold
28/7/2004,46.75,45.75,46.75,46,6291300,26.27886963,wait or hold
29/7/2004,45.75,44.5,45.5,45,9952100,25.70758629,buy
30/7/2004,45.75,44.75,45.25,45.5,4839600,25.99322701,buy
2/8/2004,45.5,45.5,45.5,45.5,0,25.99322701,buy
3/8/2004,45.75,45,45.5,45.75,8778400,26.13604355,buy
4/8/2004,45,44.5,45,44.75,4779400,25.56477165,buy
5/8/2004,45.5,44.5,45,45.25,6979800,25.85040855,buy
6/8/2004,45,44.5,44.5,44.75,3763900,25.56477165,buy
9/8/2004,44.5,43.25,44.25,43.5,9197200,24.85066795,buy
10/8/2004,43.75,42.5,43.5,43.25,8258100,24.70784569,buy
11/8/2004,43.5,41.5,43.5,42,8951600,23.99375153,buy
12/8/2004,42,42,42,42,0,23.99375153,buy
13/8/2004,43,40.5,41.25,42,14352600,23.99375153,buy
16/8/2004,43.5,41.5,42,43.25,4840700,24.70784569,buy
17/8/2004,44.75,43.25,44,44.5,7322400,25.42195129,buy
18/8/2004,45.25,44,44.75,44.5,6580600,25.42195129,buy
19/8/2004,45.25,44.5,44.5,45,6569300,25.70758629,buy
20/8/2004,45,44.5,45,44.75,6126700,25.56477165,buy
23/8/2004,45.25,44.75,45,45.25,4357600,25.85040855,buy
24/8/2004,45.25,44.75,45.25,45,4066000,25.70758629,buy
25/8/2004,46.25,45,45.25,46,6127200,26.27886963,wait or hold
26/8/2004,47,46.5,46.75,46.75,9863200,26.70733452,wait or hold
27/8/2004,47.25,46.5,46.75,47,8652600,26.85014915,wait or hold
30/8/2004,46.75,45.75,46.75,45.75,5628100,26.13604355,wait or hold
31/8/2004,47.5,45.75,45.75,47.5,4805000,27.13579178,wait or hold
1/9/2004,47.5,46.75,47.25,47.25,4127800,26.9929657,wait or hold
2/9/2004,47.25,46.75,47.25,47.25,6016800,26.9929657,wait or hold
3/9/2004,48,47.25,47.5,47.5,11677500,27.13579178,wait or hold
6/9/2004,48,47.25,47.25,47.5,5182200,27.13579178,wait or hold
