Date,High,Low,Open,Close,Volume,Adj Close,Signal
1/4/2004,27.17749977,25.28689957,25.52319908,27.17749977,1621172,12.44196224,wait or hold
2/4/2004,28.83180046,27.41379929,27.65010071,28.59539986,8300295,13.09108353,wait or hold
5/4/2004,29.77709961,29.06809998,29.30439949,29.30439949,7131782,13.41566658,wait or hold
6/4/2004,29.30439949,29.30439949,29.30439949,29.30439949,0,13.41566658,wait or hold
7/4/2004,29.54070091,28.59539986,29.54070091,28.59539986,4103231,13.09108353,wait or hold
8/4/2004,29.06809998,27.8864994,28.59539986,27.8864994,736165,12.76654434,wait or hold
9/4/2004,28.12280083,27.41379929,27.8864994,27.8864994,1234101,12.76654434,wait or hold
12/4/2004,30.01339912,28.12280083,28.12280083,29.54070091,2797831,13.52384567,wait or hold
13/4/2004,29.54070091,29.54070091,29.54070091,29.54070091,0,13.52384567,wait or hold
14/4/2004,29.54070091,29.54070091,29.54070091,29.54070091,0,13.52384567,wait or hold
15/4/2004,29.54070091,29.54070091,29.54070091,29.54070091,0,13.52384567,wait or hold
16/4/2004,30.24970055,29.54070091,30.24970055,30.24970055,4192303,13.84842777,wait or hold
19/4/2004,30.48600006,29.30439949,30.24970055,29.54070091,2825970,13.52384567,wait or hold
20/4/2004,30.24970055,29.06809998,29.77709961,30.24970055,2749381,13.84842777,wait or hold
21/4/2004,30.01339912,29.77709961,29.77709961,30.01339912,1759963,13.74024582,wait or hold
22/4/2004,29.77709961,28.12280083,29.77709961,28.35910034,2804284,12.98290634,wait or hold
23/4/2004,30.01339912,28.12280083,28.35910034,29.54070091,4798457,13.52384567,wait or hold
26/4/2004,30.24970055,28.83180046,29.30439949,29.30439949,7085553,13.41566658,wait or hold
27/4/2004,29.77709961,29.30439949,29.30439949,29.54070091,3556634,13.52384567,wait or hold
28/4/2004,29.77709961,28.83180046,29.06809998,29.30439949,1211039,13.41566658,wait or hold
29/4/2004,29.06809998,28.12280083,29.06809998,28.35910034,2335228,12.98290634,wait or hold
30/4/2004,28.12280083,27.41379929,28.12280083,27.8864994,2922024,12.76654434,wait or hold
3/5/2004,27.8864994,27.8864994,27.8864994,27.8864994,0,12.76654434,wait or hold
4/5/2004,28.35910034,27.8864994,28.35910034,27.8864994,532633,12.76654434,wait or hold
5/5/2004,27.8864994,27.8864994,27.8864994,27.8864994,0,12.76654434,wait or hold
6/5/2004,27.8864994,26.46850014,27.8864994,27.41379929,4297666,12.55014133,wait or hold
7/5/2004,26.94120026,26.23220062,26.94120026,26.46850014,2475395,12.11738014,wait or hold
10/5/2004,25.99580002,24.81419945,25.7595005,25.28689957,2564361,11.5764389,wait or hold
11/5/2004,25.7595005,25.05060005,25.28689957,25.52319908,3542459,11.68461704,wait or hold
12/5/2004,26.23220062,25.52319908,25.7595005,25.52319908,2392353,11.68461704,wait or hold
13/5/2004,25.52319908,24.10519981,25.52319908,24.34160042,3095301,11.14367676,wait or hold
14/5/2004,24.57789993,23.8689003,24.10519981,24.10519981,1754039,11.0354538,wait or hold
17/5/2004,24.10519981,22.12010002,24.10519981,22.12010002,1949003,10.12666702,wait or hold
18/5/2004,22.40369987,21.55290031,22.30920029,22.02560043,5185529,10.08340359,wait or hold
19/5/2004,25.05060005,22.49819946,22.49819946,24.81419945,4560121,11.36003399,wait or hold
20/5/2004,24.81419945,23.44350052,23.8689003,24.81419945,1600544,11.36003399,wait or hold
21/5/2004,25.7595005,24.57789993,24.57789993,24.81419945,2564572,11.36003399,wait or hold
24/5/2004,25.28689957,24.10519981,25.05060005,24.10519981,804080,11.0354538,wait or hold
25/5/2004,24.10519981,23.44350052,23.63260078,23.63260078,871995,10.8190937,wait or hold
26/5/2004,24.81419945,24.10519981,24.34160042,24.81419945,2556638,11.36003399,wait or hold
27/5/2004,25.28689957,24.57789993,24.81419945,25.28689957,2746101,11.5764389,wait or hold
28/5/2004,26.46850014,25.52319908,25.7595005,26.23220062,3757522,12.00920105,wait or hold
31/5/2004,25.7595005,25.28689957,25.52319908,25.52319908,1546593,11.68461704,wait or hold
1/6/2004,25.52319908,24.57789993,25.52319908,24.57789993,2011417,11.25185585,wait or hold
2/6/2004,24.57789993,24.57789993,24.57789993,24.57789993,0,11.25185585,wait or hold
3/6/2004,25.05060005,23.63260078,25.05060005,24.10519981,1668564,11.0354538,wait or hold
4/6/2004,24.57789993,23.8689003,24.10519981,24.10519981,461227,11.0354538,wait or hold
7/6/2004,25.05060005,24.34160042,24.57789993,24.57789993,1111495,11.25185585,wait or hold
8/6/2004,24.57789993,23.8689003,24.57789993,24.10519981,975242,11.0354538,wait or hold
