Date,High,Low,Open,Close,Volume,Adj Close,Signal
1/1/2004,7.243899822,7.243899822,7.243899822,7.243899822,0,0.691217005,wait or hold
2/1/2004,7.243899822,7.243899822,7.243899822,7.243899822,0,0.691217005,wait or hold
5/1/2004,7.302320004,7.12706995,7.243899822,7.243899822,3567787,0.691217005,wait or hold
6/1/2004,7.243899822,7.12706995,7.243899822,7.243899822,3668354,0.691217005,wait or hold
7/1/2004,7.243899822,6.718140125,7.243899822,6.718140125,3043125,0.64104867,wait or hold
8/1/2004,7.010230064,6.542880058,6.776549816,6.542880058,10511641,0.624325097,wait or hold
9/1/2004,6.659719944,6.542880058,6.542880058,6.659719944,9484998,0.635474324,wait or hold
12/1/2004,6.718140125,6.601299763,6.659719944,6.659719944,2907038,0.635474324,wait or hold
13/1/2004,6.718140125,6.542880058,6.659719944,6.542880058,7358962,0.624325097,wait or hold
14/1/2004,6.601299763,6.426040173,6.601299763,6.426040173,7537843,0.613176107,wait or hold
15/1/2004,6.484459877,6.309209824,6.426040173,6.367619991,11311044,0.607601821,wait or hold
16/1/2004,6.426040173,6.192369938,6.309209824,6.250790119,7281504,0.596453905,wait or hold
19/1/2004,6.484459877,6.192369938,6.309209824,6.192369938,3665359,0.590879381,wait or hold
20/1/2004,6.367619991,6.192369938,6.192369938,6.367619991,2524026,0.607601821,wait or hold
21/1/2004,6.484459877,6.367619991,6.426040173,6.484459877,2927152,0.618750811,wait or hold
22/1/2004,6.484459877,6.367619991,6.484459877,6.426040173,1621916,0.613176107,wait or hold
23/1/2004,6.309209824,6.192369938,6.309209824,6.192369938,3180496,0.590879381,wait or hold
26/1/2004,6.367619991,6.192369938,6.367619991,6.192369938,3856223,0.590879381,wait or hold
27/1/2004,6.309209824,6.075530052,6.133950233,6.250790119,2425599,0.596453905,wait or hold
28/1/2004,6.309209824,6.133950233,6.309209824,6.133950233,1371139,0.585304916,wait or hold
29/1/2004,6.426040173,6.075530052,6.133950233,6.426040173,7940969,0.613176107,wait or hold
30/1/2004,6.484459877,6.309209824,6.426040173,6.367619991,3685900,0.607601821,wait or hold
2/2/2004,6.367619991,6.133950233,6.367619991,6.133950233,1826046,0.585304916,wait or hold
